Origin;Region;Plants
Ex-FCA;BETIM;xFCA
PSA;HORDAIN;HO
PSA;LUTON;LU
Ex-FCA;SEVEL ASSEMBLY;SEV
PSA;MANGUALDE;MG
PSA;VIGO;VF
PSA;MADRID;VL
PSA;SARAGOSSE;ZA
PSA;ELLESMERE PORT;ER
PSA;GLIWICE;GZ
PSA;MULHOUSE;MU
PSA;RÜSSELSHEIM;RZ
PSA;EISENACH;EI
PSA;RENNES;RJ
PSA;SOCHAUX;SX
PSA;KENITRA;KE
PSA;POISSY;PY
PSA;TRNAVA;TA
Ex-FCA;KRAGUJEVAC ASSEMBLY;KRA
Ex-FCA;MODENE ASSEMBLY;MOD
Ex-FCA;POMIGLIANO ASSEMBLY;POM
Ex-FCA;TYCHY ASSEMBLY;TYC
Ex-FCA;BURSA ASSEMBLY;BUR
Ex-FCA;CASSINO ASSEMBLY;CAS
Ex-FCA;MIRAFIORI ASSEMBLY;MAP
Ex-FCA;MELFI ASSEMBLY;MEL
PSA;CAEN;CA
PSA;CHARLEVILLE;CH
PSA;DOUVRIN;DV
PSA;KAISERSLAUTERN;KT
PSA;MULHOUSE MEC;MPMM
PSA;MULHOUSE FORG/FOND;MPPM
PSA;RÜSSELSHEIM;MPRU
PSA;METZ;MS
PSA;TREMERY;MY
PSA;SEPT-FONS;SF
PSA;TYCHY;TY
PSA;VALENCIENNES;VS
PSA;ASPERN;WO
PSA;SZENGOTTHARD;ZG
Ex-FCA;BIELSKO-BIALA ENGINE;BIB
Ex-FCA;CENTO ENGINE;CEN
Ex-FCA;MIRAFIORI TRANSMISSION;MTP
Ex-FCA;PRATOLA SERRA  ENGINE;PRS
Ex-FCA;TERMOLI PT;TER
Ex-FCA;VERRONE TRANSMISSION;VER
Transverse;MULTI;CORPORATE
Transverse;MULTI;DDCE
